title,location,rental_type,feat_amenities,host,same_area,host_location,host_reviews,rental_age
CHARM STUDIO EXC LOCATION FREE WIFI TAX INCLUDED,Oahu,Entire apartment,30,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6
Beach Front Apartment,Oahu,Entire apartment,14,Hosted by Nic,N,"Sorrento, Australia ·",171,4
Steps to Charley Young Beach Apt #5,Maui,Entire apartment,27,Hosted by Thomas,Y,"Hawaii, HI ·",998,3
NEW! Romantic North Shore Honeymooners Condo,Kauai,Entire apartment,,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4
☼☼ Here Today Gone To Maui!☼☼,Maui,Entire condominium,21,Hosted by Candice,Y,"Kihei, HI ·",520,6
Waikiki Studio - Just Steps to the Beach and Zoo!,Oahu,Entire condominium,36,Hosted by Matt,Y,"Kaneohe, HI ·",1093,4
Waikiki Ocean View Studio w Parking,Oahu,Entire apartment,42,Hosted by Caroline,Y,"Honolulu, HI ·",273,4
Private Room upstairs in two-story house.,Big Island,Private room in house,21,Hosted by Shelly,Y,"Kailua-Kona, HI ·",531,4
☼☼ Here Today Gone To Maui!☼☼,Maui,Entire condominium,21,Hosted by Candice,Y,"Kihei, HI ·",520,6
Private Tropical Suite,Kauai,Entire guest suite,28,Hosted by Beatrice & John,Y,"Kauai, HI ·",506,8
Sacred Falls STUDIO,Oahu,Entire cottage,,Hosted by Dolly,Y,"Laie, HI ·",697,6
SuperHosts! Charming Studio all to Yourself!,Kauai,Entire apartment,,Hosted by Sky & Lani,Y,"Kaua'i, HI ·",471,8
Welcome to Paikapahu,Big Island,Private room in nature lodge,,Hosted by Ken And Courtney,Y,"Kealakekua, HI ·",760,6
Sharks Cove_Ke Iki Beach,Oahu,Entire guesthouse,,Hosted by Adriana,Y,"Haleiwa, HI ·",221,4
"Aina Nalu Resort Studio, AC, wifi, 2 pools",Maui,Entire condominium,,Hosted by Kathleen,Y,"Maui, HI ·",197,6
Modern Waikiki Studio with Ocean Views 29B,Oahu,Entire apartment,,Hosted by Sean,Y,"Honolulu, HI ·",886,5
Cozy Waialua Getaway,Oahu,Entire cabin,,Hosted by Mahina And Cristian,Y,"Waialua, HI ·",244,5
Outside entry to air conditioned private bed/bath,Kauai,Private room in house,,Hosted by Glenn,Y,"Princeville, HI ·",279,3
Kuau Paradise Condo with Balcony,Maui,Entire condominium,33,Hosted by Cherie,Y,"Makawao, HI ·",238,4
Napili Cottage Style Studio,Maui,Entire condominium,33,Hosted by Doug & Diana,N,Northern California ·,163,4
Kula Treat - Upcountry Maui with Hot Tub!,Maui,Entire apartment,,Hosted by Pamela,Y,"Kula, HI ·",834,5
"Gianna's Place-Sparkling Pool, Jacuzzi, BBQ",Kauai,Entire condominium,25,Hosted by Sydney,N,"Soquel, CA ·",157,4
"OCEANFRONT, Amazing View, NAPILI - LAHAINA, Maui",Maui,Entire condominium,,Hosted by Ryan,N,"Boise, ID ·",99,1
"B&B.....A place to yourself ....""almost"".... :)",Oahu,Private room in condominium,25,Hosted by Pamela,Y,"Waialua, HI ·",355,6
"Sweeping ocean view, great beach",Oahu,Entire condominium,21,Hosted by Cyndia,N,"Olympia, WA ·",89,4
Great 1 Bdrm Across fr Beach OceanView! Start $129,Maui,Entire apartment,,Hosted by Romelle,Y,"Kihei, HI ·",242,9
Newly Renovated Northshore Condo,Kauai,Entire apartment,,Hosted by Carla,Y,"Kilauea, HI ·",174,3
~The Surf Shack~ with breathtaking ocean views!!,Kauai,Entire condominium,36,Hosted by Kasey,Y,"Princeville, HI ·",78,5
Sealodge Ocean Front 2 Bdroom Condo,Kauai,Entire condominium,26,Hosted by Tim And Cathy,N,"Long Beach, CA ·",287,8
The Hibiscus Room,Oahu,Private room in house,21,Hosted by J,Y,"Honolulu, HI ·",723,5
Kauai Kailani...steps to the beach!,Kauai,Entire condominium,21,Hosted by Lisa,N,"El Cerrito, CA ·",118,3
"Ho'okipa Hideaway, North Shore Maui",Maui,Entire guest suite,,Hosted by Claire & Billy,Y,"Haiku-Pauwela, HI ·",374,8
Luxurious 2 Br Oceanside Cottage.,Molokai,Entire cottage,34,Hosted by Seth,Y,"Honolulu, HI ·",99,4
Princeville at Hanalei Condo,Kauai,Entire apartment,,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4
New!! Hanalei Bay Penthouse with Ocean Views,Kauai,Entire loft,36,Hosted by Krissy,Y,"Hanalei, HI ·",144,1
Romantic Beachfront Getaway,Maui,Entire apartment,,Hosted by Craig,N,"Los Angeles, CA ·",172,6
Makai Hideaway,Big Island,Entire house,36,Hosted by Cheryl,N,"Escondido, CA ·",140,6
Pay 3 star hotel but stay 4/5 hotel.,Oahu,Entire condominium,30,Hosted by Young,Y,"Honolulu, HI ·",140,3
Modern Tropical Residence w Indoor/Outdoor Living,Kauai,Entire guest suite,26,Hosted by Emily & Rob,Y,"Princeville, HI ·",297,9
Modern Tropical Residence w Indoor/Outdoor Living,Kauai,Entire guest suite,26,Hosted by Emily & Rob,Y,"Princeville, HI ·",297,9
"Ocean View, Quiet Beach, Free Pkg, Walk to Town",Kauai,Entire condominium,31,Hosted by Tony,N,"Carlsbad, CA ·",289,4
Luxurious Waterfront Bungalow #1 w/ Screened Lanai,Kauai,Entire apartment,21,Hosted by Michael & Paula,Y,"Kapaa, HI ·",295,5
Charming Getaway in Princeville,Kauai,Entire apartment,,Hosted by Sarah,N,"Berkeley, CA ·",440,7
"Ocean Front Luxury Condo, free WIFI, Kuleana",Maui,Entire apartment,,Hosted by Nina & Anders,N,"San Francisco, CA ·",203,8
One Room and Private Bathroom - Great for Hikers,Kauai,Private room in guest suite,14,Hosted by James,Y,"Princeville, HI ·",435,5
Studio in Heart of Princeville!,Kauai,Entire apartment,23,Hosted by Juliana,Y,"Princeville, HI ·",568,4
Oh-So-Close to Waikīkī Beach Condo (100% LEGAL),Oahu,Entire apartment,42,Hosted by Ashlee,Y,"Honolulu, HI ·",368,4
Modern Beach Home Laie North Shore,Oahu,Entire guest suite,23,Hosted by Geoff,Y,"Laie, HI ·",700,7
Luana Kai Oceanfront Condo by Owner,Maui,Entire condominium,,Hosted by Donald,N,"Freeport, NY ·",337,10
"Full condo, oceanfront resort",Maui,Entire condominium,26,Hosted by Mary,N,"Halifax, Canada ·",185,3
KAI at Pohailani Condo on MAUI 2br,Maui,Entire condominium,35,Hosted by Lori,Y,"Lahaina, HI ·",164,7
Honolulu Historic Home Manoa Valley,Oahu,Entire loft,19,Hosted by Kathleen,Y,"Honolulu, HI ·",253,7
"Luxury cottage Kailua Lanikai Beaches , A/C",Oahu,Entire cottage,,Hosted by Zenobia,Y,"Hawaii, HI ·",209,5
BRAND NEW STUDIO IN SUNNY KIHEI,Maui,Entire condominium,,Hosted by Stewart,,,159,3
Beautiful & Spacious Wailea Condo!! Walk to beach,Maui,Entire condominium,34,Hosted by Ashley,N,"Connecticut, CT ·",441,3
PIPELINE solar home MONTHLY bookings only,Oahu,Entire bungalow,,Hosted by Meleana,Y,"Haleiwa, HI ·",364,8
Little Piece of Paradise,Maui,Private room in house,,Hosted by Phil,Y,"Maui, HI ·",502,6
